index, job_title, salary_estimate, job_description, rating, company_name, location, size, founded, type_of_ownership, industry, sector, revenue, skills, company_age
NA,Statistical Programmer II,$88K - $146K (Glassdoor est.),NA,4.1,McKesson,"Irving, TX",10000+ Employees,1833,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),"REQUIREMENTS: Bachelor’s degree, or foreign equivalent, in Computer Science, Business Analytics, Statistics, Engineering, or related field and one (1) year of……
Skills: Data mining, SAS, Windows, Microsoft Office, SQL",NA
NA,"Engineer Project Manager, App Analytics",$70.00 Per Hour (Employer est.),NA,3.8,Apple,"Cupertino, CA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"Drive and ship large, multi-functional Business data analytics and data services projects including infrastructure and platform features to support analytics……
Skills: Business intelligence, Analysis skills, Organizational skills, Software development, Project management methodology",NA
NA,Machine Learning Engineer - Generative AI,$94K - $129K (Glassdoor est.),NA,4.2,Hewlett Packard,"Spring, TX",10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,"You will work closely with data scientists and engineers, using the latest tools and technologies. We engage with business units to advise and prototype……
Skills: CI/CD, Computer science, Elasticsearch, NoSQL, SQL",NA
NA,Prog Analyst PowerBI/GIS (733823) 4/25/2024,$162K - $285K (Employer est.),NA,4.2,GS1 Consulting,"Richmond, VA",1 to 50 Employees,--,Company - Public,--,--,Unknown / Non-Applicable,"Ability to travel around the state as needed. \*Contractor will be responsible for purchasing parking through VDOT’s Parking Management Office or procuring……
Skills: ArcGIS, Power BI, Oracle, Writing skills, Visual Studio",NA
NA,Senior Data Engineer - Generative AI,$162K - $285K (Employer est.),NA,4.2,Mayo Clinic,"Rochester, MN",10000+ Employees,--,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),"A Bachelor's degree in a relevant field such as engineering, mathematics, computer science, information technology, health science, or other analytical……
Skills: CI/CD, Statistics, Power BI, React, Kubernetes",NA
NA,"AIML - Sr Machine Learning Engineer, Data and ML Innovation",$171K - $300K (Employer est.),NA,4.2,Apple,"Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"You will partner closely with data engineering and data science parters as well as product teams to identify areas for product and model quality hillclimb.…
Skills: TensorFlow, Computer science, Go, Data structures, Spark",NA
NA,AI/ML Wireless Systems Engineer,$132K - $243K (Employer est.),NA,3.8,Apple,"San Diego, CA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"Participate in cutting edge research in machine intelligence and machine learning applications Contribute to AI/ML framework design Take a top-down approach……
Skills: Statistics, MATLAB, 5G, System design, Analysis skills",NA
NA,Senior Computer Vision and Machine Learning Engineer - Apple Vision Pro,$100K - $139K (Glassdoor est.),NA,4.2,Apple,"Sunnyvale, CA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"You’ll be working in a team of computer vision and machine learning researchers and engineers to implement world class algorithms that pushes the state of the……
Skills: TensorFlow, Computer vision, Analysis skills, C++, Machine learning",NA
NA,"AIML - Machine Learning Engineer, Siri and Information Intelligence",$139K - $257K (Employer est.),NA,3.7,Apple,"Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"THIS ROLE WILL HAVE THE FOLLOWING RESPONSIBILITIES: - Analyzing search ranking and relevance requirements issues and opportunities - Utilizing PyTorch and……
Skills: Go, Data structures, Java, Analysis skills, C++",NA
NA,Senior Software Engineer - Generative AI,$274K - $410K (Employer est.),NA,3.6,Mayo Clinic,"Rochester, MN",10000+ Employees,--,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),"Required qualifications for this position include: Bachelor's Degree in Computer Science/Engineering or related field with 5 years of experience as noted below;……
Skills: Azure, Go, Big data, DevOps, C#",NA
NA,"Sr SW QA Engineer, Machine Learning",$102K - $140K (Glassdoor est.),NA,3.9,Apple,"Cupertino, CA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"Understanding of subjective/objective image and video quality evaluation, and color science concepts is a strong plus.…
Skills: Photography, Computer science, Data mining, iOS, Machine learning",NA
NA,Power BI Developer/Data Analyst,$5K - $8K (Employer est.),NA,3.4,Bankers Fidelity Life Insurance Cor,"Atlanta, GA",NA,NA,NA,NA,NA,NA,"Bachelor's degree in Computer Science, Information Systems, Data Science, or a related field. This role requires a combination of technical expertise in Power……
Skills: Computer science, Power BI, Data modeling, QlikView, Data analysis skills",NA
NA,Principal Machine Learning Engineer,$75K - $80K (Employer est.),NA,4.5,Zendesk,Remote,5001 to 10000 Employees,2007,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),"MSc degree in computer science, electrical engineering, math, or related areas. PhD degree in computer science, electrical engineering, math, or related areas.…
Skills: TensorFlow, Statistics, Machine learning, Zendesk, Deep learning",NA
NA,"Senior Analyst, Commercial Analytics & Pricing",$2K - $5K (Employer est.),NA,4.0,Thermo Fisher Scientific,Alaska,10000+ Employees,1902,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),"Leverage data analytics/science tools (e.g., gene.ai) to empower commercial teams in identifying new leads, cross-selling opportunities, and market trend shifts……
Skills: Power BI, Microsoft Excel, Business intelligence, SQL, Analysis skills",NA
NA,AWS Solutions Analytics/SageMaker Architect,$75.00 - $125.00 Per Hour (Employer est.),NA,3.3,General Dynamics Information Technology,"Falls Church, VA",10000+ Employees,1996,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,$10+ billion (USD),"As a solutions architect, you will work hands-on with the team to develop technical solutions that drive innovation. Clearance Level Must Be Able to Obtain:…
Skills: CI/CD, Business intelligence, R, System architecture, Git",NA
NA,Public Health Statistician,$105K - $181K (Glassdoor est.),NA,5.0,City of Kansas City,"Kansas City, MO",1001 to 5000 Employees,1853,Government,Municipal Agencies,Government & Public Administration,Unknown / Non-Applicable,"REQUIRES an accredited Bachelor’s degree in public health, biological sciences or related field including 15 hours in statistics, mathematics, or epidemiology……
Skills: Statistics, Data analysis skills, Research, Analysis skills, Public health",NA
NA,Business Intelligence and Data Analytics,$82K - $134K (Glassdoor est.),NA,3.8,Gesture,"New York, NY",201 to 500 Employees,--,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,"Communicate findings and insights to both technical and non-technical stakeholders through clear and compelling presentations.…
Skills: TensorFlow, Data modeling, Azure, Big data, Spark",NA
NA,AI Researcher - Medical Imaging,$123K - $178K (Glassdoor est.),NA,3.7,"Augmented Intelligence, Inc.",Remote,NA,NA,NA,NA,NA,NA,"Design and develop advanced deep learning models for medical image analysis, particularly using MONAI, 3D CNNs, and transfer learning techniques.…
Skills: TensorFlow, Machine learning, AI, Communication skills, Python",NA
NA,Software Engineer AI/ML PDR using MEMS IMU,$102K - $151K (Glassdoor est.),NA,5.0,Chrome Roads Inc.,Remote,NA,NA,NA,NA,NA,NA,"We are looking for a remote person, perhaps a college software engineering major currently working on IMU based indoor location tracking using RONIN, ARPDR or……
Skills: AI",NA
NA,Data Scientist (Senior),$45K - $75K (Employer est.),NA,2.3,Deloitte,"Colorado Springs, CO",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD),"Visualize information and develop engaging reports on the results of data analysis using data visualization tools. Active Secret security clearance required.…
Skills: Enterprise architecture, Machine learning, Data science, Business requirements, AI",NA
NA,Lead Data Scientist,$44.50 Per Hour (Employer est.),NA,3.2,AutoZone,"Memphis, TN",10000+ Employees,1979,Company - Public,Automotive Parts & Accessories Stores,Retail & Wholesale,$10+ billion (USD),"Collaborate with leaders to develop an understanding of needs, develop directives, and manage a team of data scientist to complete the initiatives.…
Skills: Microsoft Powerpoint, Microsoft Excel, Data mining, SAS, R",NA
NA,Quantitative Analytics / Analysis Manager (Remote),$128K - $182K (Glassdoor est.),NA,3.5,CEDENT,"Cleveland, OH",1 to 50 Employees,--,Contract,Computer Hardware Development,Information Technology,Less than $1 million (USD),"PhD/Master’s in computer science, mathematics, data science, statistics, applied mathematics, finance, economics, or other related field.…
Skills: Authentication, MATLAB, Azure, SAS, Spark",NA
NA,Data Analytics - Oil & Gas Sector - Senior Manager - Consulting - Location OPEN,$81K - $117K (Glassdoor est.),NA,3.6,EY,"Houston, TX",10000+ Employees,1989,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD),"A valid driver’s license in the US; willingness and ability to travel to meet client needs. A bachelor’s degree or higher in a quantitative field, such as……
Skills: Computer science, Power BI, Azure, Data mining, Management",NA
NA,Sr. Manager - Global Automation Delivery,$100K - $140K (Employer est.),NA,4.1,McCormick & Company,"Hunt Valley, MD",10000+ Employees,1889,Company - Public,Food & Beverage Manufacturing,Manufacturing,$5 to $10 billion (USD),"Bachelor's degree in computer science, Data Science, Supply Chain, Finance, or a relevant field. Manage use cases and roadmaps with external technology platform……
Skills: Data modeling, Management, Machine learning, Data science, AI",NA
NA,Jr. Database and Systems Engineer,$40K - $106K (Employer est.),NA,4.1,MAG Industries LTD,"Tyrone, PA",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,"Bachelor’s degree in Computer Science, Data Science, Business Analytics, Mathematics or a related field. Good communication skills to convey technical concepts……
Skills: ASP.NET, Azure, C#, .NET, SQL",NA
NA,Data Visualization Analyst,$127K - $132K (Employer est.),NA,3.8,Global Support and Development,"Charlotte, NC",1 to 50 Employees,--,Nonprofit Organization,--,--,Unknown / Non-Applicable,"The Analyst will create dashboards for analyzing and visualizing data collected from damage and needs assessment surveys; all relevant data necessary for……
Skills: French, Spanish, Computer science, Microsoft Excel, Writing skills",NA
NA,Senior Data Engineer - Advertising,$206K - $281K (Employer est.),NA,3.9,Discord,"San Francisco, CA",501 to 1000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,$25 to $100 million (USD),"Bonus Points Passion for Discord or gaming in general Experience owning and proactively improving the data models for a functional area leveraging deep……
Skills: Tableau, SQL, Machine learning, Data science, Data visualization",NA
NA,Data Engineer 1,$94K - $183K (Employer est.),NA,4.3,DAIKIN COMFORT TECHNOLOGIES MFG LP,"Waller, TX",Unknown,1924,Subsidiary or Business Segment,Machinery Manufacturing,Manufacturing,Unknown / Non-Applicable,"Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater……
Skills: Computer science, Management, SQL, AWS, Data science",NA
NA,"Director, Data & AI - Remote U.S.",$79K - $95K (Employer est.),NA,4.3,TTEC Digital,Remote,1001 to 5000 Employees,2011,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,"Bachelor’s in Computer Science, Engineering, or other quantitative field with significant leadership experience. Build and lead high-performing, agile teams.…
Skills: Azure, Management, Sales, Project planning, Data structures",NA
NA,Associate Marketing Data Scientist,$69.00 Per Hour (Employer est.),NA,4.0,Indeed,Remote,10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology,$1 to $5 billion (USD),"Education Requirement: *Degree in Computer Science, Physics, Machine Learning, Math, Bioinformatics, Engineering, or equivalent technical field.…
Skills: Statistics, R, NoSQL, Git, Java",NA
NA,2024 University Recruiting - Data-Rich Experimentation Co-op,$94K - $186K (Employer est.),NA,3.4,Merck Sharp & Dohme,"Rahway, NJ",10000+ Employees,1891,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),"The candidate will collaborate closely with a multidisciplinary team of scientists and engineers, building skills to design and develop data-dense solutions,……
Skills: R, Git, Docker, Machine learning, Data science",NA
NA,Associate Software Engineer,$58K - $80K (Glassdoor est.),NA,3.5,Scholastic,United States,5001 to 10000 Employees,1920,Company - Public,Publishing,Media & Communication,$1 to $5 billion (USD),"Migration of the AWS ETL Framework into data transformation tool; and supporting the daily production runs for ingestion from S3, Kafka and direct API calls.…
Skills: Business intelligence, Data structures, Java, SQL, AWS",NA
NA,"RL Analytics - Content, Data Science Manager",$71K - $131K (Glassdoor est.),NA,4.0,Meta,"Burlingame, CA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"BS degree in a quantitative discipline (e.g., statistics, operations research, econometrics, computer science, engineering), or BS/MS in a quantitative……
Skills: Management, Analysis skills, Project management, Machine learning, HR sourcing",NA
NA,Sr Data Engineer,$81K - $105K (Employer est.),NA,4.4,Cisco Systems,United States,10000+ Employees,1984,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"Build architectural documents, diagrams, and presentations to communicate solution designs and strategies to both technical and non-technical team members.…
Skills: Power BI, Data modeling, Management, Business intelligence, Sales",NA
NA,Data Scientist II,$133K - $270K (Employer est.),NA,4.3,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"Bachelor's Degree in Data Science, Mathematics, Statistics, Econometrics, Economics, Operations Research, Computer Science, or related field AND 5+ years data……
Skills: Power BI, Data analysis skills, SQL, Analysis skills, Product management",NA
NA,Data Scientist - R Programming / RWE,$70K - $95K (Employer est.),NA,3.5,PHASTAR,Remote,201 to 500 Employees,2007,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,"Translate clinical questions into analytical problems through collaborations with research teams to design, conduct, interpret and report an analysis.…
Skills: Computer science, R, Machine learning, Quality control, Clinical trials",NA
NA,MakeUseOf - Freelance Writer (Artificial Intelligence),$105K - $179K (Employer est.),NA,3.2,MakeUseOf & How-To Geek,Remote,51 to 200 Employees,--,Contract,--,--,Unknown / Non-Applicable,"Expert knowledge of artificial intelligence including how to use platforms and tools. Stay up to date on the latest tech news, products and updates.…
Skills: Writing skills, AI",NA
NA,"Analyst, Demand Forecasting",$70K - $100K (Employer est.),NA,4.2,HelloFresh,United States,5001 to 10000 Employees,2011,Company - Public,Catering & Food Service Contractors,Restaurants & Food Service,Unknown / Non-Applicable,"Continuously improve tools, analysis, and presentation techniques while adapting to an expanding business, and an evolving landscape of Supply Chain technology,……
Skills: Microsoft Excel, R, Tableau, SQL, Analysis skills",NA
NA,"Client Partner, Senior",$83K - $134K (Glassdoor est.),NA,3.8,Infor,Remote,10000+ Employees,2002,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),"Experience supporting license sales and selling the value proposition of consulting services. Working with sub-contractors to handle additional opportunities.…
Skills: Sales, Data science",NA
NA,Data Scientist 2,$100K - $129K (Glassdoor est.),NA,3.8,RealmOne,Maryland,51 to 200 Employees,--,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),"Bachelor’s Degree must be in Mathematics, Applied Mathematics Statistics, Applied Statistics, Machine learning, Data Science, Operations Research, or Computer……
Skills: Computer science, Data mining, Data structures, Statistical analysis, Machine learning",NA
NA,Data Scientist (SQL/Python/R) | Hybrid,$41.25 Per Hour (Employer est.),NA,3.8,Zenith Services,"San Bruno, CA",1 to 50 Employees,--,Company - Private,Business Consulting,Management & Consulting,Less than $1 million (USD),"Master's degree in statistics, economics, operations research, engineering, or related field. PhD degree in Statistics, Economics, Operations Research, or……
Skills: R, SQL, Project management, Predictive analytics, A/B testing",NA
NA,Lead Data Analyst (Hybrid),$91K - $142K (Glassdoor est.),NA,3.7,CareFirst BlueCross BlueShield,"Fairfax, VA",5001 to 10000 Employees,1942,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"Education Level: Bachelor's Degree in Data Science, Mathematics, Computer Science, Statistics, Business or related field OR in lieu of a Bachelor's degree, an……
Skills: Big data, NoSQL, Project management, Leadership, Communication skills",NA
NA,Technology Change Coordinator,$70K - $103K (Glassdoor est.),NA,3.7,Parallon,"Nashville, TN",10000+ Employees,--,Company - Private,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD),"Demonstrates understanding of statistical analysis techniques, big data tools, programming, software development lifecycle (SDLC), and data science……
Skills: Jira, Revenue cycle management, Computer science, Power BI, Microsoft Excel",NA
NA,"Data Analyst, Senior- School of Medicine, Radiology & Imaging Sciences",$53K - $88K (Glassdoor est.),NA,4.0,Emory University,"Atlanta, GA",10000+ Employees,1974,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),"A bachelor's degree in computer science or a related field, and three years of experience in processes and standards related to data, OR an equivalent……
Skills: Oracle, SAS, Relational databases, R, Microsoft SQL Server",NA
NA,Statistician,$94K - $146K (Glassdoor est.),NA,4.3,"Midland Credit Management, Inc.","San Diego, CA",5001 to 10000 Employees,1953,Subsidiary or Business Segment,Banking & Lending,Financial Services,$1 to $5 billion (USD),"Ability to convey technical information to non-technical audiences. The person in this role should be comfortable discussing the academic merits of a……
Skills: Data mining, SAS, R, Microsoft Office, Machine learning",NA
NA,Associate Director Data Science,$73K - $88K (Employer est.),NA,4.2,Verizon,"Basking Ridge, NJ",10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),"Five or more years of active experience in Data management, analysis and visualization to realize absolute and incremental commercial gains.…
Skills: Microsoft Powerpoint, Microsoft Excel, R, Google Cloud Platform, Research",NA
NA,Data Science Analyst,$180K - $230K (Employer est.),NA,3.9,Brown & Brown Insurance,"San Diego, CA",5001 to 10000 Employees,1939,Company - Public,Insurance Agencies & Brokerages,Insurance,$1 to $5 billion (USD),"Our growing team of data analysts and scientists are engaged in all parts of the data science product lifecycle: from obtaining raw data, cleaning data and……
Skills: Business intelligence, R, Git, SQL, Data analytics",NA
NA,Senior Data Scientist -Cleared (Remote Role),$118K - $153K (Employer est.),NA,4.4,ICF,"Arlington, VA",5001 to 10000 Employees,1969,Company - Public,Business Consulting,Management & Consulting,$1 to $5 billion (USD),"Readiness to collaborate with engineering teams, product teams, and customers to develop prototypes and software products.…
Skills: Statistics, Computer science, SAFe, Data mining, R",NA
NA,ZED Developer Evangelist,$80K - $105K (Employer est.),NA,3.8,Stereolabs,Remote,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,"Bachelor's degree in computer science, engineering, or related field. Brainstorm and develop strategies and content, prepare and present talks at events,……
Skills: Computer science, GitHub, Data science, Communication skills, Analytics",NA
NA,Data Scientist,$92K - $131K (Glassdoor est.),NA,3.7,Araceli Biosciences,"Tigard, OR",Unknown,--,Company - Private,Biotechnology,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,"Collaborate with marketing, software development, and data science to identify and develop plans of action to define computer vision and analytics solutions for……
Skills: TensorFlow, Statistics, Computer science, Computer vision, Scientific research",NA
NA,Business Analytics Senior Data Scientist,$78K - $110K (Glassdoor est.),NA,3.6,JPMorgan Chase & Co,"Chicago, IL",10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),"Utilize interactive visualizations to allow stakeholders to explore the data, drill down into details, and discover insights on their own.…
Skills: Operations research, Business intelligence, R, Alteryx, NoSQL",NA
NA,"Data Analyst (Snowflake, ADF, SQL, PL/SQL, Unix) |",$117K (Employer est.),NA,4.1,Zenith Services,Minnesota,1 to 50 Employees,--,Company - Private,Business Consulting,Management & Consulting,Less than $1 million (USD),"Experience with sqoop, Kafka/data streaming, data science and/or big data tools. Experience with ETL tools such as DataStage. EST time zone work hours.…
Skills: Azure, Oracle, Big data, Data analysis skills, SQL",NA
NA,Data Scientist,$55K - $73K (Employer est.),NA,3.8,DarkStar Intelligence LLC,"Fort Meade, MD",51 to 200 Employees,2015,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,"At least 5 years of experience in data science, analytics, or a related field, with a specific focus on applications within federal government environments.…
Skills: TensorFlow, Power BI, D3.js, R, Tableau",NA
NA,Data Analyst,$141K - $177K (Employer est.),NA,4.3,Coalfire Federal,"Washington, DC",501 to 1000 Employees,2001,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,"Completed Bachelor’s degree from an accredited university in operations research, engineering, analytics, data science, economics, applied mathematics,……
Skills: Statistics, Power BI, Windows, Scripting, SIEM",NA
NA,Cyber Defense Analyst 1,$80K - $108K (Glassdoor est.),NA,3.1,RealmOne,Maryland,51 to 200 Employees,--,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),"Headquartered in Columbia, MD, RealmOne provides advanced technology services and solutions focused on cybersecurity, intelligence collection and analysis, data……
Skills: Management, Network protocols, Splunk",NA
NA,Principal Data Scientist,$114K - $144K (Glassdoor est.),NA,3.6,Columbia Sportswear Company,"Portland, OR",5001 to 10000 Employees,1938,Company - Public,Consumer Product Manufacturing,Manufacturing,$1 to $5 billion (USD),"Under minimal supervision, establish and execute plans to build, implement and maintain predictive models using available tools and programming languages.…
Skills: Statistics, Power BI, Data mining, SAS, R",NA
NA,Business Intelligence Analyst,$70K - $130K (Employer est.),NA,4.2,Starboard Cruise Services,"Miami, FL",1001 to 5000 Employees,1958,Subsidiary or Business Segment,General Merchandise & Superstores,Retail & Wholesale,$500 million to $1 billion (USD),"Bachelor’s degree in computer science, business analytics, mathematics, statistics, physics, or other quantitative discipline data science, or equivalent……
Skills: Computer science, Power BI, Data modeling, Microsoft Excel, Oracle",NA
NA,Supply Chain Data Scientist,$134K - $257K (Employer est.),NA,4.0,ExxonMobil,"Houston, TX",10000+ Employees,1870,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD),"The Data Science organization within ExxonMobil Supply Chain is responsible for partnering with our central ExxonMobil technology organization to develop end-to……
Skills: TensorFlow, MATLAB, Software deployment, R, Test automation",NA
NA,Data Scientist & Integrator,$53K - $79K (Glassdoor est.),NA,3.8,P3S Corporation,"San Antonio, TX",51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),"Preferred a bachelor’s degree in computer science, Data Science, Statistics, or a related field. Data Scientists & Integrators must be able to communicate……
Skills: XML, R, Data analysis skills, SOAP, SQL",NA
NA,"Assistant Vice Chancellor of Information, Data Empowerment and Analytics",$133K - $190K (Employer est.),NA,3.4,University of Colorado,"Aurora, CO",10000+ Employees,1876,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),"Graduate degree preferred in computer science, data science, or related field, or equivalent experience and relevant professional credentials.…
Skills: Computer science, Program design, Customer service, Information security, Analysis skills",NA
NA,Data Scientist,$146K - $201K (Glassdoor est.),NA,4.2,US National Institutes of Health,"Montgomery Village, MD",10000+ Employees,1887,Government,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,"Apply advanced knowledge of the concepts, methods, and techniques of the specialized field of data science to provide technical expertise on data quality……
Skills: Power BI, DevOps, R, Tableau, Java",NA
NA,AI Machine Learning Engineer FULLY REMOTE,$107K - $158K (Glassdoor est.),NA,3.8,Slavic401K,"Boca Raton, FL",201 to 500 Employees,1986,Company - Private,Investment & Asset Management,Financial Services,$25 to $100 million (USD),"Bachelor’s or Master’s degree in Computer Science, Artificial Intelligence, Machine Learning, or a related field. 24/7 no-cost Employee Assistance Program (EAP.…
Skills: Power BI, Azure, C#, R, Java",NA
NA,Senior Data Analyst - Contract to hire - Remote,$112K - $167K (Glassdoor est.),NA,3.3,Gallagher,"Rolling Meadows, IL",10000+ Employees,1927,Company - Public,Insurance Agencies & Brokerages,Insurance,$5 to $10 billion (USD),"Assists with the design and implementation of operational and system enhancements to ensure production capabilities are both effective and efficient.…
Skills: Microsoft Powerpoint, Microsoft Word, Power BI, Microsoft Excel, Azure",NA
NA,IT Pro 1-App/Software Dev - Developer 1,$93K - $148K (Glassdoor est.),NA,3.7,University of Minnesota,"Minneapolis, MN",Unknown,1851,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,"BA/BS in physics, engineering, computer science, mathematics, biology, neuroscience, psychology or related field, or a combination of related work experience to……
Skills: Research laboratory experience, CSS, R, Laboratory experience, Git",NA
NA,Delivery Executive,$83K - $175K (Employer est.),NA,3.4,Infor,Remote,10000+ Employees,2002,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),"You will own the integrated project plan and responsibility for the oversight and execution. You will also perform ongoing analysis and review of engagement(s)……
Skills: Enterprise software, Profit & loss, Scrum, Agile, Data science",NA
